Close,DateTime,High,Low,Open,Symbol,Volume
179.43,1.542E+12,186.95,179.02,185.23,HD,7590396
179,1.54209E+12,181.62,172.85,177.3,HD,14274029
179.9,1.54218E+12,182.9,179.15,182.61,HD,7561076
177.36,1.54226E+12,179.67,173.61,179.01,HD,8663136
177.02,1.54235E+12,177.605,173.51,173.99,HD,6834880
173.59,1.54261E+12,178.88,172.3,176.71,HD,6203443
169.05,1.54269E+12,172,167,169.25,HD,8661014
169.3,1.54278E+12,170.93,169.145,170,HD,5752238
168.85,1.54295E+12,170.33,168.47,169.39,HD,2710983
169.82,1.54321E+12,172.39,168.87,170.2,HD,6140476
173.22,1.5433E+12,173.38,168.82,169.11,HD,7084186
177.43,1.54338E+12,177.65,170.62,172.91,HD,7133627
175.66,1.54347E+12,177.27,174.92,176.8,HD,4329330
180.32,1.54356E+12,180.37,175.11,175.75,HD,8942386
181.74,1.54382E+12,183.5,179.35,183.29,HD,7609902
175.3,1.5439E+12,182.23,174.55,181.06,HD,7059563
175.96,1.54408E+12,176.04,170.4551,173.5,HD,7571194
172.79,1.54416E+12,178.36,172.24,175.35,HD,6226078
171.69,1.54442E+12,173.985,167.73,173.39,HD,5373771
172.21,1.54451E+12,175.6,171.24,174.3,HD,5229405
174.21,1.54459E+12,176.87,172.81,173.75,HD,5912831
173.87,1.54468E+12,174.91,172.07,174.31,HD,6102173
172.29,1.54477E+12,175.14,171.95,172.98,HD,4265183
167.97,1.54503E+12,171.99,166.93,171.51,HD,5631716
170.04,1.54511E+12,171.95,168.5,168.9,HD,4462210
167.56,1.5452E+12,174.95,166.77,170.92,HD,6996948
164.16,1.54529E+12,167.31,162.23,166.28,HD,7675587
160.48,1.54537E+12,167.96,160.17,162.81,HD,13034103
158.14,1.54563E+12,161.4,158.09,160.16,HD,4547363
168.28,1.5458E+12,168.28,159.44,159.46,HD,6141459
170.32,1.54589E+12,170.46,163.3627,166.44,HD,5069251
170.22,1.54598E+12,173.12,168.6,171.22,HD,4551989
171.82,1.54624E+12,173.24,170.65,171.47,HD,4206020
172.41,1.54641E+12,173.18,169.05,169.71,HD,4242898
168.61,1.5465E+12,171.84,168.21,171.84,HD,4810468
173.62,1.54658E+12,174.74,169.5203,170.18,HD,4762627
177.04,1.54684E+12,178.18,173.83,173.83,HD,4928789
177.89,1.54693E+12,179.59,175.61,178.57,HD,4722367
179.73,1.54701E+12,181.27,177.0999,177.87,HD,4922046
179.06,1.5471E+12,179.24,176.34,178.03,HD,3605294
179.41,1.54719E+12,180.26,177.12,177.93,HD,3285063
178.81,1.54745E+12,179.23,176.9007,177.59,HD,3871399
176.47,1.54753E+12,177.8212,175.2,176.08,HD,5016065
177.04,1.54762E+12,177.93,175.86,177.09,HD,4075410
174.87,1.5477E+12,175.46,172,174.01,HD,6499188
179.58,1.54779E+12,180.04,176.18,176.98,HD,6371422
177.11,1.54814E+12,178.6048,175.3626,177.49,HD,6272715
176.89,1.54822E+12,178.06,174.53,176.59,HD,4910402
177.29,1.54831E+12,177.53,175.3,177,HD,3860309
180.4,1.5484E+12,180.87,178.61,179.78,HD,4502516
179.83,1.54866E+12,179.99,177.41,178.97,HD,4091373
179.69,1.54874E+12,180.15,178.09,178.96,HD,3686877
182.18,1.54883E+12,184.2,179.78,180.47,HD,5197765
183.53,1.54891E+12,184.67,181.06,181.5,HD,5138001
184.37,1.549E+12,185.15,182.83,184.03,HD,4513184
186.43,1.54926E+12,186.43,183.84,184.3,HD,3050201
186.39,1.54935E+12,186.99,184.69,186.89,HD,4135159
184.72,1.54943E+12,186.69,184.06,186.69,HD,3072472
184.07,1.54952E+12,184.9231,182.45,183.74,HD,2793487
184.54,1.54961E+12,184.58,182.72,183.05,HD,2792477
182.92,1.54986E+12,185.42,182.75,185,HD,3729222
185.52,1.54995E+12,186.4,183.52,183.84,HD,3773229
188.41,1.55004E+12,188.68,185.92,186.3,HD,4147029
187.71,1.55012E+12,188.93,186.0025,187.5,HD,2600831
192.39,1.55021E+12,192.62,189.05,189.87,HD,4997891
192.33,1.55056E+12,193.19,191.28,191.71,HD,3828464
191.85,1.55064E+12,192.4,191.11,192.39,HD,3970075
191.82,1.55073E+12,192.37,190.61,191.85,HD,3094240
192.39,1.55082E+12,192.54,191.62,191.69,HD,3321635
189.98,1.55107E+12,193.4199,189.96,192.75,HD,6190665
188.3,1.55116E+12,188.47,182.8,185.59,HD,13635082
183.67,1.55125E+12,188.5,183.21,187.9,HD,8766217
185.14,1.55133E+12,185.19,183.11,183.6,HD,8060552
185.17,1.55142E+12,186.56,182.861,185.82,HD,5481417
183.81,1.55168E+12,186.24,182.1025,186.2,HD,5046772
184,1.55177E+12,185.12,183.25,184.24,HD,3690994
184.45,1.55185E+12,184.97,183.84,184.53,HD,4460878
182.51,1.55194E+12,184.62,181.58,184.39,HD,4122194
181.23,1.55202E+12,181.91,179.52,181.49,HD,3867055
182.44,1.55228E+12,183.1966,181.2,182,HD,3866236
184,1.55237E+12,184.27,182.33,183.43,HD,3776971
181.14,1.55245E+12,183.78,181.0801,183.24,HD,4528250
181.61,1.55254E+12,181.74,180.5,181.28,HD,4393038
182.23,1.55263E+12,182.49,179.57,182.3,HD,8059489
183.42,1.55289E+12,183.48,182.33,182.53,HD,4395846
184.13,1.55297E+12,185.82,183.48,184.19,HD,4437087
186.1,1.55306E+12,187.12,183.43,184.3,HD,4772648
189.97,1.55314E+12,190,185.5,185.5,HD,4756126
188.75,1.55323E+12,192.05,188.67,189.31,HD,5173724
189.68,1.55349E+12,191.71,188.51,188.75,HD,3845892
189.34,1.55358E+12,192.19,188.74,190.69,HD,4143254
189.25,1.55366E+12,191.61,188.39,189.65,HD,4298373
190.06,1.55375E+12,191.3999,189.16,189.91,HD,3326131
191.89,1.55384E+12,192.04,190.14,190.85,HD,4674122
195.64,1.55409E+12,195.9,192.85,192.99,HD,5381379
194.31,1.55418E+12,195.5,194.015,195.5,HD,2717818
198.61,1.55427E+12,198.785,194.11,194.98,HD,4581479
200.45,1.55435E+12,200.49,198.02,199,HD,3138816
202.06,1.55444E+12,203.13,200.61,200.86,HD,3615266
203.55,1.5547E+12,203.79,201.24,201.37,HD,3040935
200.9,1.55479E+12,202.71,200.46,202.26,HD,3721698
199.43,1.55487E+12,201.6,198.02,201.26,HD,3587644
201.48,1.55496E+12,201.5,199.03,199.9,HD,2465415
203.85,1.55505E+12,204.26,202.13,202.13,HD,3097939
204.86,1.5553E+12,205.14,203.404,204.16,HD,3049880
204.47,1.55539E+12,205.99,204.29,205.25,HD,3271592
206.55,1.55548E+12,206.84,205.32,205.34,HD,3271891
205.66,1.55556E+12,207.775,205.1,206.02,HD,3162460
204.78,1.55591E+12,206.25,204,204.11,HD,2594207
206.05,1.556E+12,207.33,203.43,205.14,HD,3702592
206.72,1.55608E+12,208.295,205.54,206.16,HD,2750949
206.5,1.55617E+12,207.72,205.06,206.01,HD,3292133
203.61,1.55625E+12,206.14,203.34,205.88,HD,3560313
202.16,1.55651E+12,203.8,200.34,203.31,HD,3785216
203.7,1.5566E+12,203.75,200.79,201.55,HD,3415616
198.8,1.55669E+12,203.52,198.66,203.2,HD,4644666
201.01,1.55677E+12,201.06,198.8,199.3,HD,2810109
200.56,1.55686E+12,202.31,200.32,202,HD,3583835
199.63,1.55712E+12,199.93,198.31,198.74,HD,2619675
194.77,1.55721E+12,197.65,192.96,196.75,HD,4622108
195.17,1.55729E+12,196.61,193.68,194.49,HD,3122569
194.58,1.55738E+12,195.077,191.59,193.31,HD,2917943
194.58,1.55746E+12,195.49,190.01,193.21,HD,3863576
190.34,1.55772E+12,191.66,189.14,191,HD,3326028
191.62,1.55781E+12,192.76,190.01,190.5,HD,3663632
191.76,1.5579E+12,192.81,190.27,190.81,HD,3355797
192.38,1.55798E+12,194.96,192.2,192.47,HD,3853985
192.58,1.55807E+12,194.495,190.75,190.86,HD,5223777
190.95,1.55833E+12,192.86,190.61,191.13,HD,4782752
191.45,1.55841E+12,192.52,186.34,187.13,HD,8555840
188.91,1.5585E+12,192.22,188.05,190.49,HD,5706339
192,1.55859E+12,192.54,186.27,188.45,HD,7754163
193.59,1.55867E+12,193.86,190.41,192.54,HD,3799486
191.55,1.55902E+12,196.47,191.35,194.38,HD,5165764
189.99,1.55911E+12,191.88,188.03,190.28,HD,4569945
191.08,1.55919E+12,192.5,190.09,190.13,HD,3029849
189.85,1.55928E+12,190.29,188.66,189.64,HD,3681598
189.57,1.55954E+12,191.87,188.75,189.52,HD,4620379
195.25,1.55962E+12,195.5,191.42,191.58,HD,5118128
196.69,1.55971E+12,196.72,193.08,194.01,HD,3704587
197.17,1.5598E+12,197.65,194.96,196.65,HD,3732940
197.3,1.55988E+12,199.02,196.21,197.2,HD,3522396
198.05,1.56014E+12,199.85,197.32,198.56,HD,3154460
198.01,1.56023E+12,200.84,195.84,199.02,HD,3708474
198.94,1.56032E+12,200.185,197.98,198.81,HD,2551590
202.35,1.5604E+12,202.68,199.45,199.95,HD,3631270
205.77,1.56049E+12,206.5,201.31,201.31,HD,4898440
206.98,1.56075E+12,208.79,206,207,HD,4620500
207.48,1.56083E+12,210.17,207.11,208.1,HD,3891295
207.94,1.56092E+12,208.48,205.9,207.9,HD,3648435
211.25,1.56101E+12,211.66,209.31,209.57,HD,5171454
209.39,1.56109E+12,211.99,209.08,211.26,HD,9854979
205.5,1.56135E+12,209.26,205.12,208.15,HD,4943452
204.74,1.56144E+12,207.1,204.2,206.3,HD,3588178
206.42,1.56153E+12,207.32,204.65,205.34,HD,3071224
207.02,1.56161E+12,208,206.01,207.61,HD,2286764
207.97,1.5617E+12,209,207.39,207.77,HD,11068972
210.28,1.56196E+12,212.31,208.17,209.7,HD,4100105
210.14,1.56204E+12,210.26,208.46,210.24,HD,3160610
212.1,1.56213E+12,212.75,209.7,209.82,HD,2183742
211.46,1.5623E+12,212.17,209.7261,209.97,HD,2547864
212.91,1.56256E+12,213.44,210.59,210.98,HD,2705327
212,1.56265E+12,213.33,211.2,211.93,HD,2397527
210.75,1.56273E+12,211.32,208.8268,210.72,HD,3457376
214.04,1.56282E+12,214.08,211.02,212.25,HD,3450056
218.23,1.56291E+12,218.25,214.61,215,HD,4429826
218.7,1.56317E+12,219.2951,216.81,218.95,HD,3141289
217.26,1.56325E+12,218.35,216.73,217.3,HD,2657421
215.61,1.56334E+12,217.58,215.61,216.73,HD,3037577
214.44,1.56343E+12,216.23,213.01,215.5,HD,3069619
213.04,1.56351E+12,215.23,212.93,214.67,HD,3255033
211.27,1.56377E+12,213.26,210.38,213,HD,2765719
213.08,1.56386E+12,214.13,211.726,212.57,HD,2590137
214.71,1.56394E+12,214.79,213.07,213.19,HD,2207164
215.55,1.56403E+12,215.92,213.63,214.28,HD,2335396
216.91,1.56412E+12,217.21,214.1,215.53,HD,2675559
218.04,1.56438E+12,218.27,216.35,216.79,HD,2407248
217.36,1.56446E+12,218.59,216.86,217.52,HD,2172571
213.69,1.56455E+12,217.8,212.165,216.35,HD,3426412
212.83,1.56464E+12,217.61,212.02,214.14,HD,3431473
212.15,1.56472E+12,213.14,211.0812,211.86,HD,2884886
204.94,1.56498E+12,209.99,204.08,209.53,HD,4553198
208.8,1.56507E+12,209.09,204.5,205.01,HD,3646800
207.91,1.56515E+12,208.5,203.13,206.04,HD,3901105
211.57,1.56524E+12,211.69,208.7201,209.7,HD,2968173
210.02,1.56533E+12,212.4123,207.95,211.45,HD,2912078
207.01,1.56559E+12,209.64,206.15,208.1,HD,1998385
208.33,1.56567E+12,211.62,204.78,206.31,HD,3906289
201.59,1.56576E+12,205.36,201.51,204.46,HD,4582123
201.79,1.56585E+12,203.76,199.05,203,HD,4199748
203.65,1.56593E+12,204.43,201.6701,203.75,HD,4093594
207.95,1.56619E+12,208.82,205.3,206.98,HD,6413591
217.09,1.56628E+12,217.85,212.17,213.5,HD,12455056
220.4,1.56636E+12,220.88,216.76,218.73,HD,7940577
221.02,1.56645E+12,222.655,219.88,220.05,HD,4545216
217.47,1.56654E+12,220.87,216.01,219.9,HD,5770379
218.65,1.5668E+12,219.5,216.18,218.46,HD,3680273
218.21,1.56688E+12,220.41,217.91,219.55,HD,4313269
221.95,1.56697E+12,222.09,217.11,217.88,HD,3072754
227.32,1.56705E+12,227.7,223.76,223.9,HD,4184912
227.91,1.56714E+12,229.27,226.69,228.43,HD,3769326
224.07,1.56749E+12,227.63,223.38,226.45,HD,4139414
224.15,1.56757E+12,224.15,220.67,223.95,HD,3146989
228.15,1.56766E+12,228.78,226.25,226.3,HD,3373539
231.13,1.56775E+12,231.37,227.88,228.7,HD,3237893
232.87,1.56801E+12,233.87,230.075,231.5,HD,4449066
233,1.56809E+12,233.02,229.7117,232.25,HD,4210672
232.66,1.56818E+12,233.68,231.02,232.93,HD,2978346
233.8,1.56826E+12,235.49,233.11,233.42,HD,3366138
233.98,1.56835E+12,234.97,232.33,234.33,HD,3805519
230.99,1.56861E+12,233.61,230.61,232.73,HD,3120219
230.21,1.5687E+12,230.33,226.47,226.79,HD,3806137
230.83,1.56878E+12,231.53,229.01,230.37,HD,3423131
228.12,1.56887E+12,231.4,227.95,231.15,HD,3254884
224.67,1.56896E+12,230.05,224.23,227.99,HD,7797035
226.25,1.56921E+12,227.14,223.95,224.16,HD,2955323
225.41,1.5693E+12,230.2383,224.78,228.14,HD,4518353
228.1,1.56939E+12,228.45,224.5,226.59,HD,3969380
229.79,1.56947E+12,231.12,229,229.68,HD,4383280
229.86,1.56956E+12,231.75,229.13,231.61,HD,3152242
232.02,1.56982E+12,232.59,230.12,230.19,HD,3258468
231.08,1.56991E+12,234.51,230.72,233.01,HD,3530209
225.55,1.56999E+12,230.6,224.34,230.6,HD,4371896
226.81,1.57008E+12,226.81,222.12,225,HD,2972928
227.93,1.57017E+12,229.21,227.02,227.17,HD,3188709
226.74,1.57042E+12,228.13,226.05,227.51,HD,2967658
226.67,1.57051E+12,228.78,225.1,225.36,HD,3567904
228.94,1.5706E+12,229.56,226.61,228.5,HD,2675389
231.61,1.57068E+12,232.24,229.08,229.34,HD,3052401
234.66,1.57077E+12,236.7,233.76,234.32,HD,3479059
234.18,1.57103E+12,235.485,234.06,234.22,HD,2538129
235.62,1.57112E+12,236.86,234.6,234.69,HD,2667156
235.9,1.5712E+12,236.17,233.84,235.42,HD,2389282
236.77,1.57129E+12,238.1736,235.51,236.36,HD,2296853
237.93,1.57137E+12,238.73,235.64,236.99,HD,3663925
236.7,1.57163E+12,238.99,235.61,238.26,HD,2079644
237.2,1.57172E+12,238.3,236.516,237.3,HD,2022890
234.67,1.57181E+12,237.41,234.36,236.66,HD,2138451
